,stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_type,stadium_capacity,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
87,Rice Stadium,"Houston, TX",,,outdoor,"2176 University Boulevard, Houston, TX 77251",warm,,Grass,,,
88,Rogers Centre,"Toronto, Canada",,,retractable,"1 Blue Jays Way, Toronto, ON M5V 1J1, Canada",indoor,,,43.641389,-79.389167,
89,Rose Bowl,"Pasadena, CA",,,outdoor,,moderate,,Grass,,,
90,Seattle Kingdome,"Seattle, WA",1976,1999,indoor,"422 2nd Ave S, Seattle, WA 98104",indoor,,,,,
91,Shea Stadium,"Flushing, NY",,,outdoor,"123-01 Roosevelt Avenue, Flushing, NY 11368",cold,,Grass,,,
92,SoFi Stadium,"Inglewood, CA",2020,,outdoor,,warm,70240,Hellas Matrix Turf,33.95345,-118.3392,
93,Soldier Field,"Chicago, IL",1926,,outdoor,"1410 Museum Campus Dr, Chicago, IL 60605",cold,61500,Grass,41.8623,-87.6167,177.7
94,Sports Authority Field at Mile High,"Denver, CO",2001,,outdoor,"1701 Bryant St, Denver, CO 80204",cold,76125,Grass,39.7633,-104.8694,1611.2
95,Stanford Stadium,"Palo Alto, CA",,,,,moderate,,,,,
96,State Farm Stadium,"Glendale, AZ",2006,,retractable,"1 Cardinals Dr, Glendale, AZ 85305",indoor,63400,Grass,33.528,-112.263,375.2
97,StubHub Center,"Los Angeles, CA",2017,,outdoor,"18400 S Avalon Blvd, Carson, CA 90746",warm,27000,Grass,33.938,-118.3888,29.6
98,Sun Devil Stadium,"Tempe, AZ",1988,2005,outdoor,"500 E Veterans Way, Tempe, AZ 85287",warm,,,33.42638889,-111.9325,375.2
99,Sun Life Stadium,"Miami Gardens, FL",1987,,outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,,,25.7905,-80.3163,8.8
100,Tampa Stadium,"Tampa, FL",,,,,warm,,,,,
101,TCF Bank Stadium,"Minneapolis, MN",2010,2015,outdoor,"420 SE 23rd Ave, Minneapolis, MN 55455",cold,,,44.976,-93.225,265.8
102,Texas Stadium,"Irving, TX",1971,2008,outdoor,"2401 E Airport Fwy, Irving, TX 75062",moderate,,,32.84,-96.911,163.4
103,Three Rivers Stadium,"Pittsburgh, PA",1970,2000,outdoor,"W General Robinson St, Pittsburgh, PA 15212",cold,,,40.446667,-80.012778,366.7
104,TIAA Bank Field,"Jacksonville, FL",1995,,outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",warm,67264,Grass,30.323889,-81.6375,6.1
105,Tiger Stadium,"Detroit, MI",,,outdoor,"2121 Trumbull Ave., Detroit, MI 48216",cold,,Grass,,,
106,Tiger Stadium (LSU),"Baton Rouge, LA",2005,2005,outdoor,"Baton Rouge, LA 70803",warm,,,30.411944,-91.185556,
107,Tottenham Hotspur Stadium,"London, UK",,,,,moderate,,,51.604444,-0.066389,
108,Tottenham Stadium,"London, UK",,,,,moderate,,,51.604444,-0.066389,
109,Tulane Stadium,"New Orleans, LA",,,outdoor,"Willow St. & Audubon Blvd., New Orleans, LA 70118",warm,,"Grass, Turf (1971-1974)",,,
110,Twickenham Stadium,"London, UK",1909,,outdoor,"200 Whitton Road, TW2 7BA, London, UK",moderate,,,51.456111,-0.341667,
111,U.S. Bank Stadium,"Minneapolis, MN",2016,,indoor,"401 Chicago Ave, Minneapolis, MN 55415",indoor,66200,FieldTurf,44.973889,-93.258056,
112,University of Phoenix Stadium,"Glendale, AZ",2006,,retractable,"1 Cardinals Dr, Glendale, AZ 85305",indoor,63400,Grass,33.4552,-111.9316,375.2
113,Vanderbilt Stadium,"Nashville, TN",1998,1998,outdoor,"Nashville, TN 37203",moderate,,,36.11889,-86.68917,182.9
114,Veterans Stadium,"Philadelphia, PA",1971,2002,outdoor,"3501 South Broad Street, Philadelphia, Pennsylvania 19148",cold,,,39.906667,-75.171111,3.0
115,War Memorial Stadium,"Buffalo, NY",1960,1972,outdoor,"285 Dodge Street, Buffalo, NY 14208",cold,,,,,
116,Wembley Stadium,"London, UK",2007,,outdoor,"Wembley, London HA9 0WS, United Kingdom",moderate,,,51.555833,-0.279722,
117,Wrigley Field,"Chicago, IL",1920,1970,outdoor,"1060 West Addison Street, Chicago, IL 60613",cold,,,,,
118,Yale Bowl,"New Haven, CT",,,outdoor,"276 Derby Ave, West Haven, CT 06516",cold,,Grass,,,
119,Yankee Stadium,"Bronx, NY",,,outdoor,,cold,,,,,
